adhesion_mult_str,adhesion_val,condition,n_seeds,total_mean,total_sd,S_mean,S_sd,R_mean,R_sd,RS_mean,RS_sd
0p1,0.04,2D_normal,10,365.7,91.70828752081242,237.7,53.593003274681294,128.0,44.50842616853577,0.5218270902429276,0.14428981273196695
0p1,0.04,2D_ADT,10,171.0,11.7983049630021,119.5,8.777812939451376,51.5,7.592759709091286,0.4330666509312701,0.06877546309493386
0p1,0.04,3D_normal,1,416.0,,266.0,,150.0,,0.5639097744360902,
0p1,0.04,3D_ADT,1,153.0,,109.0,,44.0,,0.4036697247706422,
0p25,0.1,2D_normal,10,377.7,14.177799547179385,244.5,14.030324301312497,133.2,15.516442891333053,0.5482624937518242,0.080202231645936
0p25,0.1,2D_ADT,10,170.0,7.0,120.2,3.7363083384538807,49.8,5.436910887627275,0.41452309940332466,0.04533799651607437
0p25,0.1,3D_normal,1,327.0,,236.0,,91.0,,0.3855932203389831,
0p25,0.1,3D_ADT,1,161.0,,111.0,,50.0,,0.45045045045045046,
baseline,0.4,2D_normal,10,380.6,19.427815111329426,254.9,18.135324645563973,125.7,25.15968998219175,0.5004437827501252,0.1310683339092915
baseline,0.4,2D_ADT,10,176.2,13.709850473291093,121.3,8.271033792700885,54.9,12.541531007018243,0.45569032197042175,0.11428236434787978
baseline,0.4,3D_normal,1,510.0,,318.0,,192.0,,0.6037735849056604,
baseline,0.4,3D_ADT,1,177.0,,122.0,,55.0,,0.45081967213114754,
2p0,0.8,2D_normal,10,384.3,16.068914089010498,253.0,19.01578291840754,131.3,21.748793069961376,0.526477026852672,0.11979866997701862
2p0,0.8,2D_ADT,10,168.1,10.624970588194586,117.3,8.877499647986475,50.8,8.268010643437755,0.43683126904746084,0.08622781554637045
2p0,0.8,3D_normal,1,397.0,,245.0,,152.0,,0.6204081632653061,
2p0,0.8,3D_ADT,1,167.0,,120.0,,47.0,,0.39166666666666666,
5p0,2.0,2D_normal,10,245.7,18.660385848100784,153.0,19.651971911235776,92.7,20.66422028531442,0.6256883701837392,0.1868320040989874
5p0,2.0,2D_ADT,10,154.8,4.833218389437828,108.6,4.737087712930805,46.2,5.30659966456864,0.4274724919393226,0.06343751409666368
5p0,2.0,3D_normal,1,363.0,,243.0,,120.0,,0.49382716049382713,
5p0,2.0,3D_ADT,1,189.0,,129.0,,60.0,,0.46511627906976744,
10p0,4.0,2D_normal,10,211.4,9.14549069213894,146.6,20.664946164943185,64.8,17.440183485273312,0.4701874076856403,0.21369855713398028
10p0,4.0,2D_ADT,10,144.2,8.158431221748454,103.6,8.777243302996675,40.6,6.829348431585549,0.39721131916474073,0.08549584362717551
10p0,4.0,3D_normal,1,375.0,,247.0,,128.0,,0.5182186234817814,
10p0,4.0,3D_ADT,1,193.0,,128.0,,65.0,,0.5078125,
