sweep,metric,comparison,p_mannwhitney,p_ttest,stars_mw,stars_ttest,concordant
adhMot,R,Normal vs ADT @ mult=0p1,0.00018165114609146497,8.15073322773695e-08,***,***,True
adhMot,R,Normal vs ADT @ mult=0p25,0.00017661101166893502,1.224471608382269e-07,***,***,True
adhMot,R,Normal vs ADT @ mult=10p0,0.003535139283098487,0.0010247188555255209,**,**,True
adhMot,R,Normal vs ADT @ mult=2p0,0.00018165114609146497,2.3395130365250325e-08,***,***,True
adhMot,R,Normal vs ADT @ mult=5p0,0.0001796225049907081,4.27269626550002e-06,***,***,True
adhMot,R,Normal vs ADT @ mult=baseline,0.00017761066068896375,5.478709356942517e-07,***,***,True
adhMot,RS,Normal vs ADT @ mult=0p1,0.14046504815835495,0.21104568029306278,ns,ns,True
adhMot,RS,Normal vs ADT @ mult=0p25,0.08897301170181328,0.17850972488657474,ns,ns,True
adhMot,RS,Normal vs ADT @ mult=10p0,0.3844942826161789,0.31556475499826164,ns,ns,True
adhMot,RS,Normal vs ADT @ mult=2p0,0.005776978583674299,0.0010695534811758659,**,**,True
adhMot,RS,Normal vs ADT @ mult=5p0,0.053902557169387175,0.02130266067442508,ns,*,False
adhMot,RS,Normal vs ADT @ mult=baseline,0.3447042220069576,0.45008662495046287,ns,ns,True
adhMot,S,Normal vs ADT @ mult=0p1,0.00017861448837368162,4.736543909792803e-12,***,***,True
adhMot,S,Normal vs ADT @ mult=0p25,0.00018165114609146497,2.312657762893089e-11,***,***,True
adhMot,S,Normal vs ADT @ mult=10p0,0.00017167508717120289,2.723533523313312e-07,***,***,True
adhMot,S,Normal vs ADT @ mult=2p0,0.0001796225049907081,5.000261933571621e-09,***,***,True
adhMot,S,Normal vs ADT @ mult=5p0,0.00018165114609146497,6.865888299661289e-08,***,***,True
adhMot,S,Normal vs ADT @ mult=baseline,0.00018165114609146497,8.777048426350855e-14,***,***,True
adhMot,total,Normal vs ADT @ mult=0p1,0.0001796225049907081,9.186924027288052e-17,***,***,True
adhMot,total,Normal vs ADT @ mult=0p25,0.00018165114609146497,1.850384002785436e-18,***,***,True
adhMot,total,Normal vs ADT @ mult=10p0,0.0001796225049907081,4.078042997367336e-12,***,***,True
adhMot,total,Normal vs ADT @ mult=2p0,0.00017761066068896375,1.295423957482701e-13,***,***,True
adhMot,total,Normal vs ADT @ mult=5p0,0.0001806347208075351,1.2952131233861472e-11,***,***,True
adhMot,total,Normal vs ADT @ mult=baseline,0.00018165114609146497,1.1505863901278677e-15,***,***,True
adhesion,R,Normal vs ADT @ adh=0p1,0.002775670420071866,7.761971859166629e-05,**,***,True
adhesion,R,Normal vs ADT @ adh=0p25,0.00017861448837368162,1.0126496057931575e-11,***,***,True
adhesion,R,Normal vs ADT @ adh=10p0,0.0021769116459710684,0.001106563701494545,**,**,True
adhesion,R,Normal vs ADT @ adh=2p0,0.0001806347208075351,5.02040767452423e-09,***,***,True
adhesion,R,Normal vs ADT @ adh=5p0,0.0001806347208075351,3.8117045297518405e-06,***,***,True
